Time,Protcol,Flag,Family,Clusters,SeddAddress,ExpAddress,BTC,USD,Netflow_Bytes,IPaddress,Threats,Port,Prediction
50,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,500,5,A,Bonet,5061,SS
40,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,504,8,A,Bonet,5061,SS
30,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,508,7,A,Bonet,5061,SS
20,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,512,15,A,Bonet,5061,SS
57,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,516,9,A,Bonet,5061,SS
41,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,520,17,A,Bonet,5061,SS
22,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,524,11,A,Bonet,5061,SS
18,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,528,19,A,Bonet,5061,SS
3,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,532,13,A,Bonet,5061,SS
26,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,536,21,A,Bonet,5061,SS
22,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,540,15,A,Bonet,5061,SS
7,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,544,23,A,Bonet,5061,SS
30,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,548,17,A,Bonet,5061,SS
26,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,552,25,A,Bonet,5061,SS
11,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,556,19,A,Bonet,5068,SS
34,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,560,27,A,Bonet,5068,SS
30,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,1,564,21,A,Bonet,5068,SS
15,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,568,29,A,Bonet,5068,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,572,23,A,Bonet,5068,SS
34,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,576,31,A,Bonet,5068,SS
19,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,580,25,A,Bonet,5068,SS
42,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,584,33,A,Bonet,5068,SS
38,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,588,27,A,Bonet,5068,SS
23,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,592,35,A,Bonet,5068,SS
46,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,596,29,A,Bonet,5068,SS
42,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,600,37,A,Bonet,5068,SS
27,TCP,A,WannaCry,1,1DA11mPS,1BonuSr7,18,604,31,A,Bonet,5066,SS
